month_start,month,year,search,retention,renewal_rate,price_expansion,net_renewal_rate,all_consumer_leads,consumer_sessions,consumer_users,consumer_leads,all_leads,deals_won,country,prompted_awareness,biz_traffic_consumer
2021-05-01T00:00:00Z,5,2021,0.77,3628554.79,0.989,530627.17,1.2346,2966,13086766,8589881,2906,4565,155,UK,0.6336666666666667,37328
2021-05-01T00:00:00Z,5,2021,0.77,196591.89,0.9955,5957.79,1.112,414,2730549,2006508,387,780,35,IT,0.35800000000000004,6410
2021-06-01T00:00:00Z,6,2021,0.8,4821709.39,0.9837,594161.51,1.2809,2691,12197478,8109625,2613,4263,171,UK,0.6373333333333333,27775
2021-06-01T00:00:00Z,6,2021,0.8,336510.51,0.9919,13042.26,1.0962,320,2393468,1786890,309,585,35,IT,0.378,4480
2021-07-01T00:00:00Z,7,2021,0.73,4900973.27,0.9832,595339.64,1.2957,2432,12703091,8479911,2405,3887,125,UK,0.641,26528
2021-07-01T00:00:00Z,7,2021,0.73,259885.62,0.9822,8852.45,1.2169,280,2513583,1843785,275,599,30,IT,0.398,4492
2021-08-01T00:00:00Z,8,2021,0.73,4173811.35,0.9812,413146.26,1.1936,2443,13066002,8796332,2374,4160,125,UK,0.639,31024
2021-08-01T00:00:00Z,8,2021,0.73,191358.86,0.9918,11591.69,1.1452,244,2351129,1755419,242,515,28,IT,0.3952,4488
2021-09-01T00:00:00Z,9,2021,0.7,4756121.21,0.9831,406494.34,1.1633,2393,12611004,8531970,2311,4037,195,UK,0.637,26431
2021-09-01T00:00:00Z,9,2021,0.7,224195.64,0.9902,16935.11,1.2156,370,2677151,1995676,365,831,36,IT,0.3924,4632
2021-10-01T00:00:00Z,10,2021,0.73,3906940.81,0.9655,362233.4,1.1506,2403,13182684,8920562,2309,4231,174,UK,0.635,26653
2021-10-01T00:00:00Z,10,2021,0.73,255544.8,0.9723,14167.17,1.1515,383,2753316,2039008,377,827,32,IT,0.3896,4743
2021-11-01T00:00:00Z,11,2021,0.79,4361027.9,0.9864,438461.24,1.2052,2333,14132989,9476960,2273,4138,212,UK,0.633,34147
2021-11-01T00:00:00Z,11,2021,0.79,321318.39,0.989,20265.97,1.2642,389,3039561,2233005,369,766,42,IT,0.38680000000000003,6348
2021-12-01T00:00:00Z,12,2021,0.81,3999663.39,0.9834,429104.58,1.1727,1828,13019170,8694699,1789,3287,130,UK,0.631,20758
2021-12-01T00:00:00Z,12,2021,0.81,293647.16,1,32722.91,1.1973,363,2974849,2124546,351,670,37,IT,0.384,4604
2022-01-01T00:00:00Z,1,2022,0.85,504630.53,0.9985,68812.47,1.1692,412,3232297,2335383,402,790,39,IT,NA,8300
2022-02-01T00:00:00Z,2,2022,0.81,5005985.72,0.9894,476289.33,1.2286,2543,12218371,8109068,2494,4498,185,UK,NA,29454
2022-02-01T00:00:00Z,2,2022,0.81,318866.32,0.9338,21190.57,1.1711,433,2871550,2103192,403,907,52,IT,NA,5811
2022-03-01T00:00:00Z,3,2022,1,5818057.19,0.9823,576866.85,1.2972,2341,12771728,8424826,2254,4453,240,UK,NA,27750
2022-03-01T00:00:00Z,3,2022,1,505464.56,0.9835,68149.11,1.216,392,3020858,2215958,394,911,64,IT,NA,5661
